,title,links,ratings
0,Honey Buns,https://www.epicurious.com/recipes/food/views/honey-buns,4.27
1,Red Hook,https://www.epicurious.com/recipes/food/views/red-hook-cocktail,3
2,Breakfast Amaranth With Walnuts and Honey,https://www.epicurious.com/recipes/food/views/breakfast-amaranth-with-walnuts-and-honey-51215420,4.5
3,Vegan Pecan Pie,https://www.epicurious.com/recipes/food/views/vegan-pecan-pie-petees-pie-for-everyone,5
4,Homemade Requesón Cheese,https://www.epicurious.com/recipes/food/views/homemade-requeson-cheese,0
5,Penicillin,https://www.epicurious.com/recipes/food/views/penicillin-cocktail-scotch-ginger,4.75
6,Old Pepper,https://www.epicurious.com/recipes/food/views/old-pepper-spicy-bourbon-cocktail-alba-huerta,4
7,Classic English Muffins,https://www.epicurious.com/recipes/food/views/classic-english-muffins-claire-saffitz-dessert-person,3.5
8,Buss Up Shut (Paratha Roti),https://www.epicurious.com/recipes/food/views/buss-up-shut-paratha-roti-ramin-ganeshram,3
9,Caramelized Honey Pumpkin Pie,https://www.epicurious.com/recipes/food/views/caramelized-honey-pumpkin-pie,4
10,Pandora’s Box,https://www.epicurious.com/recipes/food/views/pandoras-box-shibuya-honey-toast,5
11,Rose Cocoa,https://www.epicurious.com/recipes/food/views/rose-cocoa,3
12,Mary's Panna Cotta with Red Wine Syrup,https://www.epicurious.com/recipes/food/views/marys-panna-cotta-with-red-wine-syrup,5
13,Golden Milk,https://www.epicurious.com/recipes/food/views/golden-milk-turmeric-tea,3.65
14,Challah,https://www.epicurious.com/recipes/food/views/challah-51220210,4.08
15,Honey-Lemon Custard with Fruit,https://www.epicurious.com/recipes/food/views/honey-lemon-custard-with-fruit-51104290,4
16,Roasted Peanut Soup with Honey Whipped Cream,https://www.epicurious.com/recipes/food/views/roasted-peanut-soup-with-honey-whipped-cream-388698,2.4
17,Simple Hot Cocoa for One,https://www.epicurious.com/recipes/food/views/simple-hot-cocoa-for-one-369469,4.21
